playername,timeplayed,gamesplayed,errors,RMSE,a,b,c
alexiifyt,701,259,[],17.32073086580362,-3.5151468215864046e-05,6.983657149028706,-999.9999977148011
alexo-orba,1196,6905,[],8.53405606784534,-0.00647100973899533,3.06886042620624,49.11911175876709
alexpoke,844,404,[],5.605989277570383,0.016589694054135486,-10.888688106393154,47.80064085036745
Alexpoy,1276,11837,[],10.402817369603143,-0.021060126541170652,4.67923817452897,49.823438851365395
alexreed,1148,2913,[],34.05891413893686,-4.186124496487074,4.337912158259813,37.619183863541046
AlexZoops,940,1808,[],14.821757330656359,-0.012112061590013252,3.428421333778853,50.62113639247703
Alfven,681,1809,[],6.39793176919244,-8.879508504601729e-06,3.855360151044057,1.9282708733798912
Algebruh,286,367,[],41.14500919071595,0.0056489071992167844,2.3122455163261155,52.16859339624456
Algorythm,1056,4238,[],39.274865735297155,-0.01356629989633955,3.7182824517664868,52.25153156410534
Ali1,764,750,[],6.560927100730647,-0.005504327977928529,3.9467008768344183,33.14263238156293
alicelove,439,989,[],9.494095407841973,-0.01013420776174353,3.4903575334924577,30.851416256521325
Alingeesha,783,662,[],18.744092109613394,-0.003836484908655942,3.453979100266876,46.16732413435363
Alinith,1207,14090,[],54.08951702267206,-5.784658331998654e-05,3.9502119517419683,0.3937736785326288
Alipheese,238,596,[],18.344751866336573,-3.628297852697739e-05,6.962019479674696,-988.1248641858467
AlivePrince,381,1464,[],11.566252246906055,-2.266435188608561e-05,3.8265051731167827,6.546876735313518
aljn,1097,643,[],9.611232380231126,-0.0001700357054127709,4.993294576719929,-80.25702865566002
allaquan,890,512,[],1386.9868239743719,-0.0003483969983695856,7.156519595133173,-999.9830248723118
Allenbot,414,576,[],10.25646679267487,-0.0018430133504968116,3.7146285456051737,21.30808751352322
AllIDoIsNguyen,439,1421,[],6.510492482382601,-0.006574439531426657,1.384359565074585,54.13802147294475
alpha800,1224,7616,[],7.53759547396779,-0.017824851356129226,3.5045183096897805,30.26824392577913
Alpharage,1871,3876,[],15.682130168537398,0.0023818537814269563,-1.1861549837483218,49.22677737357386
Altina,903,404,[],1583.6524334386113,-0.002608122406345265,7.214402100568838,-127.76093701791423
Alton,961,308,[],40.197917815385566,-0.8360316663273859,5.667448784123372,58.06766022168193
